fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2024-2025,May,26,PUNJAB,2602,AMRITSAR,255904,353.348194292608,11,16,8.705665,690,375,6926,106108,83431,56093,49,35,0,383.636367,9029,9324,57813,74459,0,102938,128274,7616,374.930702,63579,26,54.74,6.56,100.91,NA
2024-2025,May,26,PUNJAB,2609,PATIALA,490346,349.132018771432,9,49,24.4024757,530,241,6755,219589,144012,86873,0,0,0,791.0579844,22244,23329,85005,131453,0,128460,185442,7285,766.6555087,177975,21,38.18,25.95,101.17,NA
2024-2025,May,26,PUNJAB,2616,MUKATSAR,314803,536.514595633667,8,15,13.9814989,259,33,7055,72830,59979,125266,6,66,0,404.7250789,8958,10447,76739,148741,0,104917,193893,7314,390.74358,47106,40,49.51,11.82,102.64,NA
2024-2025,May,26,PUNJAB,2621,BARNALA,127908,363.954360097584,9,27,0,102,31,1099,56157,50089,36821,0,15,0,204.38585,5970,6356,24912,42293,0,37694,60564,1201,204.38585,39223,31,53.4,10.13,99.93,NA
2024-2025,May,26,PUNJAB,2602,AMRITSAR,255904,359.06091042726,10,15,8.705665,650,393,6942,82994,65825,56021,41,35,0,306.704677,7755,8010,57729,74349,0,102915,128233,7592,297.999012,49514,26,52.82,6.98,99.86,NA
2024-2025,May,26,PUNJAB,2610,SANGRUR,525640,369.971249374479,8,30,12.3493144,160,29,3187,149875,120749,76623,31,17,0,566.8437244,17169,17604,60742,97361,0,85698,129077,3347,554.49441,115264,13,40.96,21.92,99.98,NA
2024-2025,May,26,PUNJAB,2612,FARIDKOT,187179,436.388269431403,8,23,12.0633545,384,32,996,61344,49113,57477,0,5,0,279.7613745,7174,8196,38458,71992,0,52398,92552,1380,267.69802,42829,8,65.94,6.18,99.65,NA
2024-2025,May,26,PUNJAB,2620,TARN TARAN,278440,382.704984383096,11,6,9.7305925,228,181,6891,138952,107285,50209,202,18,0,541.5068224,11893,12207,50160,66870,0,105465,151565,7119,531.7762299,84066,33,67.88,9.24,103.88,NA
2024-2025,May,26,PUNJAB,2612,FARIDKOT,187179,437.250739101318,8,22,12.0633545,384,32,995,61223,49003,57477,0,5,0,279.7613745,7167,8189,38458,71992,0,52398,92552,1379,267.69802,42717,8,65.88,6.19,99.65,NA
2024-2025,May,26,PUNJAB,2616,MUKATSAR,314803,615.499314226679,7,13,11.8810289,258,37,7022,56141,45975,125257,6,66,0,357.4284989,7185,8266,76720,148716,0,104911,193890,7280,345.54747,35793,40,49.96,8.97,103.19,NA
